Country,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
French Guyana,0,0,0,2,0,0,0,0,0,0,1,4,10,4,5,7,10,3,10,17,16,12,9,5,9,7,3,0,0
Gabon,0,0,1,0,0,0,0,0,0,0,0,0,0,20,10,13,4,3,8,4,13,26,20,14,20,31,33,24,31
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
Georgia,0,0,9,4,1,5,0,3,14,9,22,16,0,13,10,4,4,1,4,1,1,2,0,1,4,0,6,0,0
Germany,776,825,723,626,695,593,562,560,508,445,402,361,269,301,317,327,302,294,289,310,347,365,434,390,368,365,364,390,388
Ghana,15,30,28,25,30,15,3,10,23,15,22,11,19,6,11,16,28,22,11,26,43,23,33,48,40,46,34,30,29
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0
Greece,0,12,3,0,0,1,10,2,4,19,10,13,24,25,20,29,38,36,20,12,21,7,13,14,15,9,17,18,14
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,8,4,3,7,5,5,0,0,0,0,0,0,0,0
Guadeloupe,6,2,1,0,4,3,1,3,1,2,0,0,2,1,3,5,0,1,5,1,1,9,3,6,21,7,1,3,7
Guinea,0,3,1,4,8,17,14,7,15,13,10,11,22,7,19,15,29,9,10,13,11,7,12,11,12,15,23,19,17
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,4,3,9,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,2,0,0
Honduras,0,0,0,0,0,0,0,0,0,1,0,3,0,1,8,22,18,12,1,8,4,0,2,0,0,0,0,1,0
Hungary,21,2,20,2,1,0,1,2,4,7,19,14,5,12,12,6,11,18,13,9,14,6,29,17,7,1,15,9,12
Iceland,6,4,8,5,3,4,1,7,2,8,19,16,15,9,13,10,13,9,9,2,10,16,5,8,10,21,14,18,28
Iran,0,0,0,0,0,0,0,15,9,8,8,3,15,21,8,11,13,9,15,8,11,8,1,5,0,0,0,0,4
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ireland,80,64,64,36,33,30,27,15,28,76,47,37,41,50,48,38,44,41,37,44,46,61,39,30,23,31,19,11,23
Israel,5,6,6,4,0,1,10,15,12,4,2,0,5,10,11,5,3,5,10,15,4,24,26,8,9,0,7,2,1
Italy,401,374,492,480,487,544,568,610,489,463,506,523,541,521,637,628,673,661,616,563,524,477,492,479,444,449,488,440,419
