Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,0,0,0,0,0,0,0,0,87,63
Australia,90,31,95,128,102,115,182,234,273,127,216,101
Bangladesh,0,0,0,0,0,0,68,59,116,88,148,80
Bermuda,0,0,0,0,0,0,0,0,29,0,0,0
Canada,0,22,0,0,0,0,0,90,65,96,0,0
East Africa,20,0,0,0,0,0,0,0,0,0,0,0
England,81,52,140,141,147,94,74,100,164,141,123,88
India,47,45,115,133,102,126,177,220,59,235,183,53
Ireland,0,0,0,0,0,0,0,0,107,138,148,0
Kenya,0,0,0,0,0,71,90,135,45,79,0,0
Namibia,0,0,0,0,0,0,0,68,0,0,0,0
Netherlands,0,0,0,0,0,71,0,78,58,107,0,0
New Zealand,81,61,135,88,186,118,126,142,172,140,216,58
Pakistan,83,69,119,113,142,112,164,94,55,152,131,61
Scotland,0,0,0,0,0,0,37,0,47,0,124,0
South Africa,0,0,8,0,116,117,157,128,201,140,198,57
Sri Lanka,60,29,120,83,93,144,92,169,203,213,181,26
United Arab Emirates,0,0,0,0,0,74,0,0,0,0,119,0
West Indies,109,67,103,127,119,108,61,109,167,118,143,44
Zimbabwe,0,0,82,70,85,75,124,145,47,115,152,0
