Duleep Mendis,Sri Lanka,40,78,158,136,0,0,0,0,0,0,0,0
Ranjan Madugalle,Sri Lanka,0,4,104,85,0,0,0,0,0,0,0,0
Ravi Ratnayeke,Sri Lanka,0,0,0,52,0,0,0,0,0,0,0,0
Ashantha De Mel,Sri Lanka,0,0,66,0,0,0,0,0,0,0,0,0
Vinothen John,Sri Lanka,0,0,35,11,0,0,0,0,0,0,0,0
Sangarange Anurasiri,Sri Lanka,0,0,0,0,21,0,0,0,0,0,0,0
Kris Srikkanth,India,0,0,156,248,116,0,0,0,0,0,0,0
Sunil Gavaskar,India,113,89,59,300,0,0,0,0,0,0,0,0
Navjot Sidhu,India,0,0,0,276,0,175,0,0,0,0,0,0
Dillip Vengsarkar,India,0,44,37,171,0,0,0,0,0,0,0,0
Mohammad Azharuddin,India,0,0,0,190,332,143,161,0,0,0,0,0
Ravishankar Shastri,India,0,0,40,63,82,0,0,0,0,0,0,0
Kapil Dev,India,0,53,303,152,161,0,0,0,0,0,0,0
Manoj Prabhakar,India,0,0,0,23,11,11,0,0,0,0,0,0
Kiran More,India,0,0,0,59,41,0,0,0,0,0,0,0
Laxman Sivaramakrishnan,India,0,0,0,0,0,0,0,0,0,0,0,0
Maninder Singh,India,0,0,0,4,0,0,0,0,0,0,0,0
Ken Rutherford,New Zealand,0,0,0,204,212,0,0,0,0,0,0,0
Philip Simmons,West Indies,0,0,0,170,153,0,13,0,0,0,0,0
Eldine Baptiste,West Indies,0,0,0,14,0,0,0,0,0,0,0,0
Charles Athey,England,0,0,0,211,0,0,0,0,0,0,0,0
Edward Hemmings,England,0,0,0,4,0,0,0,0,0,0,0,0
Rumesh Ratnayake,Sri Lanka,0,0,54,27,0,0,0,0,0,0,0,0
Kevin Arnott,Zimbabwe,0,0,0,112,94,0,0,0,0,0,0,0
Babu Meman,Zimbabwe,0,0,0,19,0,0,0,0,0,0,0,0
Tom Moody,Australia,0,0,0,10,202,0,117,0,0,0,0,0
Sridharan Jeganathan,Sri Lanka,0,0,0,24,0,0,0,0,0,0,0,0
Chetan Sharma,India,0,0,0,0,0,0,0,0,0,0,0,0
Andris Zesers,Australia,0,0,0,10,0,0,0,0,0,0,0,0
Manzoor Elahi,Pakistan,0,0,0,4,0,0,0,0,0,0,0,0
Michael Veletta,Australia,0,0,0,136,0,0,0,0,0,0,0,0
Roy Dias,Sri Lanka,0,75,150,85,0,0,0,0,0,0,0,0
Mudassar Nazar,Pakistan,0,3,106,40,0,0,0,0,0,0,0,0
Shoaib Mohammad,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0
Chandrakant Pandit,India,0,0,0,24,0,0,0,0,0,0,0,0
Philip Horne,New Zealand,0,0,0,18,0,0,0,0,0,0,0,0
Danny Morrison,New Zealand,0,0,0,0,12,15,0,0,0,0,0,0
Roger Binny,India,0,0,73,0,0,0,0,0,0,0,0,0
Chris Gayle,West Indies,0,0,0,0,0,0,0,206,228,170,340,107
Evin Lewis,West Indies,0,0,0,0,0,0,0,0,0,0,0,3
Shai Hope,West Indies,0,0,0,0,0,0,0,0,0,0,0,90
Nicholas Pooran,West Indies,0,0,0,0,0,0,0,0,0,0,0,137
Shimron Hetmeyer,West Indies,0,0,0,0,0,0,0,0,0,0,0,67
Jason Holder,West Indies,0,0,0,0,0,0,0,0,0,0,155,60
Andre Russell,West Indies,0,0,0,0,0,0,0,0,0,52,104,36
Carlos Brathwaite,West Indies,0,0,0,0,0,0,0,0,0,0,0,30
Sheldon Cottrell,West Indies,0,0,0,0,0,0,0,0,0,0,0,1
Oshane Thomas,West Indies,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Gabriel,West Indies,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Bairstow,England,0,0,0,0,0,0,0,0,0,0,0,128
Joe Root,England,0,0,0,0,0,0,0,0,0,0,202,279
Chris Woakes,England,0,0,0,0,0,0,0,0,0,0,90,92
Ben Stokes,England,0,0,0,0,0,0,0,0,0,0,0,118
Jason Roy,England,0,0,0,0,0,0,0,0,0,0,0,215
Eoin Morgan,England,0,0,0,0,0,0,0,0,91,120,90,101
Jos Butler,England,0,0,0,0,0,0,0,0,0,0,141,185
Liam Plunkett,England,0,0,0,0,0,0,0,0,31,0,0,36
Jofra Archer,England,0,0,0,0,0,0,0,0,0,0,0,8
Adil Rashid,England,0,0,0,0,0,0,0,0,0,0,0,3
Mark Wood,England,0,0,0,0,0,0,0,0,0,0,0,10
Moeen Ali,England,0,0,0,0,0,0,0,0,0,0,192,22
Quinton de Kock,South Africa,0,0,0,0,0,0,0,0,0,0,145,101
Hashim Amla,South Africa,0,0,0,0,0,0,0,0,0,306,333,19
Aiden Markram,South Africa,0,0,0,0,0,0,0,0,0,0,0,56
Faf du Plessis,South Africa,0,0,0,0,0,0,0,0,0,159,380,105
Rassie van der Dussen,South Africa,0,0,0,0,0,0,0,0,0,0,0,113
Jean-Paul Duminy,South Africa,0,0,0,0,0,0,0,0,0,224,164,56
Dwaine Pretorius,South Africa,0,0,0,0,0,0,0,0,0,0,0,1
Andile Phehlukwayo,South Africa,0,0,0,0,0,0,0,0,0,0,0,66
Kagiso Rabada,South Africa,0,0,0,0,0,0,0,0,0,0,0,55
Lungisani Ngidi,South Africa,0,0,0,0,0,0,0,0,0,0,0,6
Imran Tahir,South Africa,0,0,0,0,0,0,0,0,0,1,8,10
Imam-ul-Haq,Pakistan,0,0,0,0,0,0,0,0,0,0,0,99
Fakhar Zaman,Pakistan,0,0,0,0,0,0,0,0,0,0,0,58
Babar Azam,Pakistan,0,0,0,0,0,0,0,0,0,0,0,115
Haris Sohail,Pakistan,0,0,0,0,0,0,0,0,0,0,177,8
Sarfraz Ahmed,Pakistan,0,0,0,0,0,0,0,0,0,0,160,103
Mohammad Hafeez,Pakistan,0,0,0,0,0,0,0,0,15,215,0,146
Imad Wasim,Pakistan,0,0,0,0,0,0,0,0,0,0,0,1
Shadab Khan,Pakistan,0,0,0,0,0,0,0,0,0,0,0,10
Hasan Ali,Pakistan,0,0,0,0,0,0,0,0,0,0,0,43
