STATE/UT,YEAR,TOTAL IPC CRIMES
MADHYA PRADESH,2007,202386
MAHARASHTRA,2007,195707
MANIPUR,2007,3259
MEGHALAYA,2007,2079
MIZORAM,2007,2083
NAGALAND,2007,1180
ODISHA,2007,54872
PUNJAB,2007,35793
RAJASTHAN,2007,148870
SIKKIM,2007,667
TAMIL NADU,2007,172754
TRIPURA,2007,4273
UTTAR PRADESH,2007,150258
UTTARAKHAND,2007,9599
WEST BENGAL,2007,81102
A & N ISLANDS,2007,807
CHANDIGARH,2007,3643
D & N HAVELI,2007,425
DAMAN & DIU,2007,260
LAKSHADWEEP,2007,56
PUDUCHERRY,2007,5054
ANDHRA PRADESH,2008,179275
ARUNACHAL PRADESH,2008,2374
ASSAM,2008,53333
BIHAR,2008,122669
CHHATTISGARH,2008,51442
GOA,2008,2742
GUJARAT,2008,123808
HARYANA,2008,55344
HIMACHAL PRADESH,2008,13976
JAMMU & KASHMIR,2008,20604
JHARKHAND,2008,38686
KARNATAKA,2008,127540
KERALA,2008,110620
MADHYA PRADESH,2008,206556
MAHARASHTRA,2008,206243
MANIPUR,2008,3349
MEGHALAYA,2008,2318
MIZORAM,2008,1989
NAGALAND,2008,1202
ODISHA,2008,56755
PUNJAB,2008,35314
RAJASTHAN,2008,151174
SIKKIM,2008,730
TAMIL NADU,2008,176833
TRIPURA,2008,5336
UTTAR PRADESH,2008,168996
UTTARAKHAND,2008,8856
WEST BENGAL,2008,105419
A & N ISLANDS,2008,882
CHANDIGARH,2008,3931
D & N HAVELI,2008,401
DAMAN & DIU,2008,248
LAKSHADWEEP,2008,95
PUDUCHERRY,2008,4989
ANDHRA PRADESH,2009,180441
ARUNACHAL PRADESH,2009,2362
ASSAM,2009,55313
BIHAR,2009,122931
CHHATTISGARH,2009,51370
GOA,2009,3005
GUJARAT,2009,115183
HARYANA,2009,56229
HIMACHAL PRADESH,2009,13315
JAMMU & KASHMIR,2009,21975
JHARKHAND,2009,37436
KARNATAKA,2009,134042
KERALA,2009,118369
MADHYA PRADESH,2009,207762
MAHARASHTRA,2009,199598
MANIPUR,2009,2852
MEGHALAYA,2009,2448
MIZORAM,2009,2047
NAGALAND,2009,1059
ODISHA,2009,55740
PUNJAB,2009,35545
RAJASTHAN,2009,166565
SIKKIM,2009,669
TAMIL NADU,2009,174691
TRIPURA,2009,5486
UTTAR PRADESH,2009,172884
UTTARAKHAND,2009,8802
WEST BENGAL,2009,113036
A & N ISLANDS,2009,941
CHANDIGARH,2009,3555
D & N HAVELI,2009,442
DAMAN & DIU,2009,276
LAKSHADWEEP,2009,134
PUDUCHERRY,2009,4591
ANDHRA PRADESH,2010,181438
ARUNACHAL PRADESH,2010,2439
ASSAM,2010,61668
BIHAR,2010,127453
CHHATTISGARH,2010,54958
GOA,2010,3293
GUJARAT,2010,116439
HARYANA,2010,59120
HIMACHAL PRADESH,2010,13049
JAMMU & KASHMIR,2010,23223
JHARKHAND,2010,38889
KARNATAKA,2010,142322
KERALA,2010,148313
MADHYA PRADESH,2010,214269
MAHARASHTRA,2010,208168
MANIPUR,2010,2715
MEGHALAYA,2010,2505
MIZORAM,2010,2174
NAGALAND,2010,1059
ODISHA,2010,56459
PUNJAB,2010,36648
RAJASTHAN,2010,162957
SIKKIM,2010,552
TAMIL NADU,2010,185678
TRIPURA,2010,5805
UTTAR PRADESH,2010,174179
UTTARAKHAND,2010,9240
WEST BENGAL,2010,129616
A & N ISLANDS,2010,980
CHANDIGARH,2010,3373
D & N HAVELI,2010,378
DAMAN & DIU,2010,203
LAKSHADWEEP,2010,42
PUDUCHERRY,2010,3935
ANDHRA PRADESH,2011,189780
ARUNACHAL PRADESH,2011,2286
ASSAM,2011,66714
BIHAR,2011,135896
CHHATTISGARH,2011,57218
GOA,2011,3449
GUJARAT,2011,123371
HARYANA,2011,60741
HIMACHAL PRADESH,2011,14312
JAMMU & KASHMIR,2011,24504
JHARKHAND,2011,35838
KARNATAKA,2011,137600
KERALA,2011,172137
