SUBDIVISION,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WEST MADHYA PRADESH,718.2,911.7,949.6,774.4,696.5,1010.2,650.4,832.6,830.2,959.5,676.5,807.3,790.5,836.3,772.7,1219.2,1309.3,509.4,1232.8,714.8,808.7,918.2,1071.0,1031.3,693.5,913.8,872.9,895.6,728.7,888.2,1131.6,988.3,1211.6,1164.9,871.1,901.2,1053.4,1001.2,802.5,1064.7,739.4,1201.7,962.9,1347.7,1047.4,1250.7,1064.7,1247.6,966.2,904.5,649.7,829.1,793.7,1100.7,1149.2,1065.8,832.9,1099.7,1181.4,882.3,1433.7,905.9,905.4,880.1,594.7,680.0,945.6,861.2,1117.0,1113.2,1135.7,770.3,1406.9,876.6,1064.6,1027.7,1002.7,1003.3,781.9,873.9,890.2,934.1,1071.9,859.5,874.7,937.1,783.9,951.2,758.5,1144.0,745.5,754.2,1031.9,1179.5,864.7,1085.4,1058.3,926.9,1052.7,0.0,787.0,684.1,946.4,848.1,752.2,1169.2,806.5,791.1,877.0,776.3,1063.9,1035.2,1396.3,864.9,1042.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2113.2,3180.4,2404.5,2169.9,3005.0,2618.0,2530.0,1988.2,2670.1,3046.1,3194.2,2793.6,2935.1,2414.1,2504.9,3476.8,2841.6,2981.4,2544.5,2884.1,3513.4,3001.9,2489.0,2950.9,2886.6,2637.7,2732.2,2868.9,2931.3,2184.5,2876.5,2715.6,2514.2,2612.9,2785.1,2660.3,2568.4,3249.3,2591.1,2320.2,2718.0,2365.4,2917.6,2583.2,2755.4,2768.5,2534.1,2936.6,3287.7,2762.5,2683.1,3270.7,2594.0,3055.6,2992.9,2885.5,2225.5,2820.3,2580.1,2610.5,2304.2,2521.7,2604.7,2981.4,2762.7,2515.3,2860.5,3378.8,2424.9,2702.3,3226.8,2414.6,2804.6,3341.6,2663.6,2793.9,2906.5,2377.8,2511.7,3148.6,2969.3,2337.7,2838.8,2748.4,3037.9,2365.4,3185.5,3141.4,2854.6,3565.3,3072.4,2358.8,2895.9,2127.3,3557.8,2800.3,2551.4,3655.1,3323.3,2908.0,2612.6,2547.0,2723.3,2714.7,2807.7,2262.1,2638.9,2689.9,2324.6,2612.3,2418.7,2632.2,2406.1,2322.6,2518.6
MATATHWADA,908.7,744.1,1032.6,690.5,505.9,770.7,557.9,682.5,892.7,1134.4,612.4,488.4,656.5,989.1,1001.6,1177.9,1168.3,486.1,662.8,361.2,562.4,836.1,765.0,662.7,604.9,715.5,744.6,825.8,609.4,640.3,1088.6,844.1,1122.9,876.6,922.1,727.8,738.2,1072.7,580.2,855.6,541.0,1003.0,852.4,759.0,622.5,848.7,854.8,946.4,914.2,657.4,731.4,546.1,891.2,899.6,1151.3,1037.3,900.7,1024.6,950.3,738.3,959.0,945.7,1001.2,780.6,631.4,747.1,759.8,712.4,824.6,910.9,607.9,347.1,871.3,650.6,1050.9,623.0,767.7,784.8,807.6,812.9,786.6,636.5,1187.6,552.7,575.4,562.9,786.2,1170.0,1068.3,1198.1,601.0,726.6,806.3,583.8,809.5,855.0,790.5,1126.7,767.6,684.4,732.4,722.1,720.1,678.7,940.5,872.9,714.6,646.3,668.9,1011.6,663.5,526.7,888.0,548.9,532.2
ANDAMAN & NICOBAR ISLANDS,3373.2,3520.7,2957.4,3079.6,2566.7,2534.4,3347.9,3576.4,0.0,2899.4,2687.2,2960.5,2365.8,2957.8,2741.3,2937.5,2612.4,3275.0,2352.1,2943.2,2606.4,3554.2,0.0,0.0,2480.5,3282.2,2442.9,2998.3,2926.6,3075.1,2357.7,0.0,2987.5,3722.8,3154.0,0.0,3591.1,3264.4,2782.5,3007.5,2898.2,0.0,0.0,0.0,0.0,2791.6,0.0,0.0,3489.6,2422.2,3275.1,3079.9,2721.9,3449.0,3349.6,3080.0,2507.2,2807.4,3343.3,3025.0,3938.2,2959.7,2981.7,3054.8,3163.8,2701.2,3216.4,2762.8,2619.0,3370.8,2998.6,3323.0,2991.1,2962.0,3085.7,3276.0,2388.2,2712.4,1849.4,3625.3,3074.8,2384.5,2792.4,2820.3,2630.8,2187.8,2764.0,3323.0,2533.6,2183.4,2535.8,2098.7,2237.4,3262.8,3115.4,2996.9,2755.1,2846.4,2699.7,2763.2,3080.9,2620.2,2355.9,2460.1,2954.7,2404.7,2748.0,3374.8,2538.6,3157.1,3828.0,3497.6,3757.8,2622.4,2904.6
KERALA,3248.6,3326.6,3271.2,3129.7,2741.6,2708.0,3671.1,2648.3,3050.2,2848.6,2726.7,3451.3,2610.8,2899.1,3024.5,2945.3,2704.8,2501.9,3003.3,3303.1,2719.9,3267.6,3484.7,4226.4,3062.1,2965.4,2994.7,2502.8,3361.6,3018.0,3259.6,3403.0,4072.9,2410.7,2498.2,3043.3,2818.2,2634.1,2937.5,3117.8,3111.1,3050.9,3464.2,2490.0,2432.4,3565.5,2998.1,3039.2,2942.6,3146.6,2705.5,2334.8,2544.9,2938.0,3134.7,2798.4,3103.3,2923.1,3746.0,3385.5,4257.8,3375.8,2651.1,2869.1,2342.4,2621.7,2569.1,3392.7,2665.0,2703.5,3076.8,2739.4,2412.5,2767.4,3498.4,2068.8,3047.6,3176.7,2503.0,2803.4,3005.9,2223.3,2320.3,2762.1,2390.5,2093.2,2137.6,2403.5,2422.7,2693.1,3184.5,3239.5,2717.7,3410.8,2858.8,2610.0,3252.4,3151.5,2914.6,2412.6,2931.1,2507.4,2394.9,2886.1,3031.1,3420.6,3489.6,2524.5,2810.6,3131.8,3035.1,2151.1,3255.4,3046.4,2600.6
EAST RAJASTHAN,412.5,578.3,686.1,694.5,279.8,647.4,551.8,870.2,781.6,685.3,420.4,655.4,498.3,676.6,401.8,845.3,1350.4,273.6,787.0,596.7,547.8,669.9,690.1,924.4,483.7,832.4,725.8,608.3,576.0,661.3,774.2,543.8,937.8,808.9,684.8,542.1,670.5,503.1,400.7,652.8,505.9,939.3,716.6,906.9,861.6,887.7,714.8,663.6,509.2,740.1,362.9,712.7,585.9,665.9,844.6,928.8,662.2,742.7,786.2,591.6,884.2,604.1,577.7,646.3,423.8,473.4,759.9,519.6,634.1,718.4,784.4,454.3,948.2,611.8,897.9,815.3,887.5,727.1,515.1,547.5,615.3,660.2,795.3,563.3,588.1,590.1,435.7,640.1,510.5,780.1,578.6,723.6,595.2,839.2,754.3,715.7,573.9,475.8,408.4,440.0,551.2,285.3,626.6,606.2,567.9,748.4,575.7,644.6,414.1,689.4,802.1,693.6,836.1,683.3,650.7
JHARKHAND,1274.5,1197.6,1174.3,1480.7,1354.7,1314.3,1455.7,1214.2,1447.9,1297.6,1475.4,1142.9,1585.6,1215.5,1102.3,1364.3,1724.4,1162.6,1633.5,1415.0,1233.8,1443.2,1431.9,1431.8,1327.6,1478.4,1283.1,1384.0,1611.5,1434.0,1350.4,1193.8,1535.6,1197.4,1151.6,1664.3,1450.6,1229.8,1519.7,1231.9,1513.5,1589.0,1556.1,1386.3,1308.7,1553.2,1234.5,1402.6,1436.7,1393.0,1071.7,1387.4,1509.4,1059.5,1080.8,1555.7,1377.5,1180.5,1599.9,1248.8,1560.5,1047.7,1315.0,1150.3,1012.4,879.8,1225.3,1293.4,1158.1,1291.5,1898.6,996.1,1441.0,1127.0,1361.3,1191.8,1521.5,1556.1,882.8,1340.6,1167.2,1085.3,1261.7,1529.9,1240.3,1335.6,1332.7,1153.7,1149.0,1404.2,1250.9,933.0,1204.0,1579.4,1366.5,1191.7,1461.3,1353.8,1586.9,1191.5,1254.4,1034.9,1245.0,1136.6,960.4,1459.5,1437.3,1325.3,996.1,697.1,1374.7,1065.0,1253.6,1156.6,1081.8
PUNJAB,523.5,398.0,571.0,451.5,434.3,677.5,589.2,740.4,846.1,616.3,505.6,536.4,561.2,794.4,421.7,588.4,1126.7,339.6,549.9,383.1,370.4,513.6,737.9,590.8,629.6,607.3,481.0,437.1,423.0,557.2,588.6,490.3,860.6,429.2,598.2,626.4,571.1,430.9,403.7,532.2,506.3,871.6,422.3,626.9,805.3,478.1,600.9,620.2,584.9,992.0,499.5,565.9,611.5,633.2,973.9,750.4,710.5,828.0,699.8,606.9,690.1,769.3,476.2,708.8,423.2,638.2,680.4,536.2,494.8,650.6,748.0,470.9,743.1,356.2,705.9,794.7,712.6,720.6,464.0,661.7,503.7,571.3,751.1,710.5,752.9,611.9,409.6,1222.6,480.3,754.7,475.9,478.2,583.1,580.9,869.1,589.7,690.1,588.6,364.4,405.3,441.0,274.7,424.6,351.7,552.0,647.7,594.8,717.1,361.2,451.5,705.2,493.6,586.6,382.7,510.8
WEST UTTAR PRADESH,775.9,736.6,808.4,945.2,433.5,978.7,589.5,866.3,903.0,875.9,751.6,804.5,495.3,887.5,802.5,1114.2,1120.2,371.9,969.1,622.8,992.3,1000.8,902.3,1064.1,943.8,917.0,934.2,644.6,650.1,788.1,930.8,706.0,1035.3,897.7,784.6,1218.4,676.7,730.4,721.1,783.9,516.4,1088.2,850.4,770.3,966.0,896.6,809.2,1028.1,906.7,834.0,728.9,875.3,761.8,879.3,1060.9,1064.4,1005.2,1165.3,768.3,1129.8,1198.3,798.2,929.7,1002.0,673.5,756.0,1157.2,693.3,878.1,863.8,1003.1,585.1,805.9,668.9,989.5,653.2,994.3,1244.2,558.0,984.7,739.6,969.1,1191.7,781.3,957.2,715.2,466.8,1035.6,657.3,958.0,748.7,820.6,771.9,806.8,826.8,941.2,445.2,867.2,786.4,771.4,661.7,625.2,1047.5,642.3,725.7,529.3,572.5,799.8,549.2,820.7,777.4,389.6,932.8,486.9,582.7
LAKSHADWEEP,1459.2,2158.8,0.0,1176.9,1574.9,1811.6,1458.8,1959.1,1463.5,1849.2,1687.7,1654.9,1518.5,2034.0,1545.5,1398.5,0.0,0.0,1926.5,0.0,0.0,1928.5,1572.2,1972.0,1676.9,1836.2,0.0,0.0,0.0,1258.4,0.0,1893.7,2314.1,1087.9,1529.2,1744.1,1443.6,1547.6,1207.3,1406.7,1163.4,1786.2,0.0,1668.1,1321.3,0.0,1755.9,1325.3,0.0,1494.1,1715.3,1124.5,1606.2,1555.5,1548.3,1287.4,1347.2,992.6,1583.6,1901.8,2235.3,1586.6,1902.1,1651.7,1405.9,1741.5,1287.3,1344.4,1416.1,1783.0,1901.4,1287.6,1557.4,1511.3,1890.5,1502.1,1848.2,1967.4,1825.4,1211.7,1617.4,1392.0,1403.2,1591.6,1303.4,1465.9,1288.6,1450.8,1714.4,1310.5,1583.0,1534.9,1449.7,1547.1,2030.9,1606.0,1764.7,1986.9,1857.3,1372.1,1380.6,1033.5,1532.9,1553.2,1575.4,1598.6,2361.6,1726.8,1570.1,1725.2,1533.7,1405.5,1426.3,1395.0,1642.9
