Country,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,Total
Algeria,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,7,0,13
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Argentina,2,0,0,0,5,2,4,0,9,15,8,14,5,8,10,2,11,10,8,6,119
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,2,13
Austria,7,0,0,17,2,0,0,0,0,7,5,0,2,0,3,0,0,0,0,0,43
Belgium,2,1,0,5,0,0,0,4,0,0,3,12,6,4,3,6,0,0,6,16,68
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
Brazil,1,14,22,8,16,14,4,19,6,10,15,10,4,11,14,18,10,9,11,8,224
Bulgaria,0,0,0,0,0,1,1,5,2,0,0,2,0,10,1,0,0,0,0,0,22
C̫te d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,13
Cameroon,0,0,0,0,0,0,0,0,0,0,1,0,7,3,2,2,0,2,1,0,18
Chile,0,0,5,0,0,10,2,0,1,0,3,0,0,0,5,0,0,3,6,0,35
Colombia,0,0,0,0,0,5,0,0,0,0,0,0,4,4,1,0,0,0,12,6,32
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,5,2,19
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,6,14,35
Cuba,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Czechoslovakia,9,5,0,0,9,7,0,2,0,0,2,0,10,0,0,0,0,0,0,0,44
